,PV low output,PV medium output,PV high output
2016-05-02 08:33:53,1.9029584996695594,2.8544377495043394,3.805916999339119
2016-05-02 08:33:54,1.90312564100303,2.854688461504545,3.80625128200606
2016-05-02 08:33:55,1.9032927823365002,2.8549391735047505,3.8065855646730005
2016-05-02 08:33:56,1.9088230977852252,2.863234646677838,3.8176461955704504
2016-05-02 08:33:57,1.9036270650034413,2.855440597505162,3.8072541300068825
2016-05-02 08:33:58,1.9037942063369115,2.8556913095053673,3.807588412673823
2016-05-02 08:33:59,1.903961347670382,2.855942021505573,3.807922695340764
2016-05-02 08:34:00,1.9166141728629598,2.8749212592944398,3.8332283457259195
2016-05-02 08:34:01,1.904295630337323,2.8564434455059846,3.808591260674646
2016-05-02 08:34:02,1.9044627716707934,2.85669415750619,3.8089255433415867
2016-05-02 08:34:03,1.9046299130042637,2.8569448695063953,3.8092598260085273
2016-05-02 08:34:04,1.9124931330428048,2.868739699564207,3.8249862660856095
2016-05-02 08:34:05,1.904964195671205,2.8574462935068072,3.80992839134241
2016-05-02 08:34:06,1.9051313370046752,2.8576970055070126,3.8102626740093504
2016-05-02 08:34:07,1.9052984783381455,2.8579477175072183,3.810596956676291
2016-05-02 08:34:08,1.8609814385580556,2.7914721578370836,3.7219628771161113
2016-05-02 08:34:09,1.9056327610050865,2.85844914150763,3.811265522010173
2016-05-02 08:34:10,1.905799902338557,2.8586998535078356,3.811599804677114
2016-05-02 08:34:11,1.9059670436720273,2.858950565508041,3.8119340873440546
2016-05-02 08:34:12,1.8958309257980466,2.84374638869707,3.791661851596093
2016-05-02 08:34:13,1.9063013263389683,2.8594519895084525,3.8126026526779366
2016-05-02 08:34:14,1.9064684676724386,2.859702701508658,3.812936935344877
2016-05-02 08:34:15,1.9066356090059091,2.8599534135088636,3.8132712180118182
2016-05-02 08:34:16,1.8946033174621733,2.84190497619326,3.7892066349243465
2016-05-02 08:34:17,1.9069698916728501,2.860454837509275,3.8139397833457003
2016-05-02 08:34:18,1.9071370330063204,2.860705549509481,3.814274066012641
2016-05-02 08:34:19,1.9073041743397907,2.860956261509686,3.8146083486795814
2016-05-02 08:34:20,1.932552945799253,2.8988294186988792,3.865105891598506
2016-05-02 08:34:21,1.9076384570067317,2.8614576855100977,3.8152769140134635
2016-05-02 08:34:22,1.9078055983402022,2.8617083975103035,3.8156111966804045
2016-05-02 08:34:23,1.9079727396736725,2.861959109510509,3.815945479347345
2016-05-02 08:34:24,1.93288862201518,2.89933293302277,3.86577724403036
2016-05-02 08:34:25,1.9083070223406136,2.8624605335109203,3.816614044681227
2016-05-02 08:34:26,1.9084741636740838,2.8627112455111257,3.8169483273481677
2016-05-02 08:34:27,1.9086413050075544,2.8629619575113314,3.8172826100151087
2016-05-02 08:34:28,1.938917399544564,2.908376099316846,3.877834799089128
2016-05-02 08:34:29,1.9089755876744954,2.863463381511743,3.8179511753489908
2016-05-02 08:34:30,1.9091427290079657,2.8637140935119483,3.8182854580159313
2016-05-02 08:34:31,1.909309870341436,2.863964805512154,3.818619740682872
2016-05-02 08:34:32,1.902600533022731,2.853900799534096,3.805201066045462
2016-05-02 08:34:33,1.9096441530083772,2.8644662295125656,3.8192883060167544
2016-05-02 08:34:34,1.9098112943418475,2.8647169415127713,3.819622588683695
2016-05-02 08:34:35,1.9099784356753182,2.864967653512977,3.8199568713506364
2016-05-02 08:34:36,1.8957739794048407,2.843660969107261,3.7915479588096814
2016-05-02 08:34:37,1.9103127183422588,2.865469077513388,3.8206254366845176
2016-05-02 08:34:38,1.9104798596757293,2.865719789513594,3.8209597193514586
2016-05-02 08:34:39,1.9106470010091998,2.8659705015137997,3.8212940020183996
2016-05-02 08:34:40,1.904767003338969,2.8571505050084536,3.809534006677938
2016-05-02 08:34:41,1.9109812836761406,2.866471925514211,3.8219625673522812
2016-05-02 08:34:42,1.911148425009611,2.8667226375144166,3.822296850019222
2016-05-02 08:34:43,1.9113155663430816,2.8669733495146223,3.8226311326861633
2016-05-02 08:34:44,1.946338832528019,2.9195082487920287,3.892677665056038
2016-05-02 08:34:45,1.9116498490100224,2.867474773515034,3.823299698020045
2016-05-02 08:34:46,1.9118169903434927,2.867725485515239,3.8236339806869855
2016-05-02 08:34:47,1.9119841316769635,2.8679761975154454,3.823968263353927
2016-05-02 08:34:48,1.9401772935886632,2.910265940382995,3.8803545871773264
2016-05-02 08:34:49,1.912318414343904,2.868477621515856,3.824636828687808
2016-05-02 08:34:50,1.9124855556773745,2.868728333516062,3.824971111354749
2016-05-02 08:34:51,1.9126526970108453,2.868979045516268,3.8253053940216906
2016-05-02 08:34:52,1.9133232118078243,2.869984817711736,3.8266464236156486
2016-05-02 08:34:53,1.9129869796777859,2.8694804695166787,3.8259739593555717
2016-05-02 08:34:54,1.9131541210112561,2.869731181516884,3.8263082420225123
2016-05-02 08:34:55,1.9133212623447269,2.86998189351709,3.8266425246894538
2016-05-02 08:34:56,1.9078798407519473,2.861819761127921,3.8157596815038946
2016-05-02 08:34:57,1.9136555450116677,2.8704833175175013,3.8273110900233354
2016-05-02 08:34:58,1.913822686345138,2.870734029517707,3.827645372690276
2016-05-02 08:34:59,1.9139898276786087,2.870984741517913,3.8279796553572174
2016-05-02 08:35:00,1.9258872566869034,2.8888308850303552,3.851774513373807
2016-05-02 08:35:01,1.9143027318028962,2.871454097704344,3.8286054636057925
2016-05-02 08:35:02,1.9144484945937137,2.8716727418905705,3.8288969891874274
2016-05-02 08:35:03,1.9145942573845307,2.871891386076796,3.8291885147690614
