,Total load,load_q
5/2/16 8:35,1.68623187,0.843115935
5/2/16 8:36,1.690525299,0.84526265
5/2/16 8:36,1.69177128,0.84588564
5/2/16 8:36,1.691632056,0.845816028
5/2/16 8:36,1.672661091,0.836330546
5/2/16 8:36,1.67113807,0.835569035
5/2/16 8:36,1.673907072,0.836953536
5/2/16 8:36,1.670583989,0.835291994
5/2/16 8:36,1.673075949,0.836537975
5/2/16 8:36,1.673769255,0.836884627
5/2/16 8:36,1.672244827,0.836122414
5/2/16 8:36,1.670998847,0.835499423
5/2/16 8:36,1.670721806,0.835360903
5/2/16 8:36,1.670998847,0.835499423
5/2/16 8:36,1.669198785,0.834599392
5/2/16 8:36,1.67113807,0.835569035
5/2/16 8:36,1.671829969,0.835914985
5/2/16 8:36,1.667260906,0.833630453
5/2/16 8:36,1.668506886,0.834253443
5/2/16 8:36,1.665598661,0.832799331
5/2/16 8:36,1.665598661,0.832799331
5/2/16 8:36,1.665459438,0.832729719
5/2/16 8:36,1.69426324,0.84713162
5/2/16 8:36,1.695094363,0.847547181
5/2/16 8:36,1.690525299,0.84526265
5/2/16 8:36,1.69080234,0.84540117
5/2/16 8:36,1.690663117,0.845331558
5/2/16 8:36,1.689417136,0.844708568
5/2/16 8:36,1.692186138,0.846093069
5/2/16 8:36,1.692879443,0.846439721
5/2/16 8:36,1.696340343,0.848170171
5/2/16 8:36,0.909640175,0.454820088
5/2/16 8:36,0.910332074,0.455166037
5/2/16 8:36,0.888175844,0.444087922
5/2/16 8:36,0.888590702,0.444295351
5/2/16 8:36,0.889421824,0.444710912
5/2/16 8:36,1.338510543,0.669255271
5/2/16 8:36,0.914348462,0.457174231
5/2/16 8:36,1.714890824,0.857445412
5/2/16 8:36,1.708660923,0.854330461
5/2/16 8:36,1.706173181,0.85308659
5/2/16 8:36,1.702296016,0.851148008
5/2/16 8:36,1.703541997,0.851770998
5/2/16 8:36,1.69786477,0.848932385
5/2/16 8:36,1.69786477,0.848932385
5/2/16 8:36,1.698417446,0.849208723
5/2/16 8:36,1.695786261,0.847893131
5/2/16 8:36,1.694817322,0.847408661
5/2/16 8:36,1.697448506,0.848724253
5/2/16 8:36,1.695786261,0.847893131
5/2/16 8:36,1.696063302,0.848031651
5/2/16 8:36,1.694540281,0.847270141
5/2/16 8:36,1.696894424,0.848447212
5/2/16 8:36,1.695094363,0.847547181
5/2/16 8:36,1.697171465,0.848585733
5/2/16 8:36,1.699802649,0.849901325
5/2/16 8:36,1.697033648,0.848516824
5/2/16 8:36,1.697171465,0.848585733
5/2/16 8:36,1.70007969,0.850039845
5/2/16 8:36,1.324523499,0.66226175
5/2/16 8:36,1.326462785,0.663231392
5/2/16 8:37,1.327154683,0.663577342
5/2/16 8:37,1.327570948,0.663785474
5/2/16 8:37,1.326462785,0.663231392
5/2/16 8:37,1.296967083,0.648483542
5/2/16 8:37,1.299459044,0.649729522
5/2/16 8:37,1.295719697,0.647859848
5/2/16 8:37,1.295581879,0.64779094
5/2/16 8:37,1.298213064,0.649106532
5/2/16 8:37,1.294335899,0.64716795
5/2/16 8:37,1.295581879,0.64779094
5/2/16 8:37,1.295165615,0.647582808
5/2/16 8:37,1.292119573,0.646059786
5/2/16 8:37,1.292811472,0.646405736
5/2/16 8:37,1.292950695,0.646475348
5/2/16 8:37,1.293781817,0.646890909
5/2/16 8:37,1.293919635,0.646959817
5/2/16 8:37,1.290319511,0.645159755
5/2/16 8:37,1.295165615,0.647582808
5/2/16 8:37,1.292119573,0.646059786
5/2/16 8:37,1.294335899,0.64716795
5/2/16 8:37,1.29682786,0.64841393
5/2/16 8:37,1.327293907,0.663646953
5/2/16 8:37,1.328677705,0.664338852
5/2/16 8:37,1.330202132,0.665101066
5/2/16 8:37,1.327293907,0.663646953
5/2/16 8:37,1.327570948,0.663785474
5/2/16 8:37,1.32937101,0.664685505
5/2/16 8:37,1.329093969,0.664546984
5/2/16 8:37,1.329093969,0.664546984
5/2/16 8:37,1.324523499,0.66226175
5/2/16 8:37,1.327154683,0.663577342
5/2/16 8:37,1.323277519,0.661638759
5/2/16 8:37,1.326323561,0.663161781
5/2/16 8:37,1.32964805,0.664824025
5/2/16 8:37,1.324662723,0.662331361
5/2/16 8:37,1.326600602,0.663300301
5/2/16 8:37,1.32937101,0.664685505
5/2/16 8:37,1.326462785,0.663231392
5/2/16 8:37,1.327570948,0.663785474
5/2/16 8:37,1.328954745,0.664477373
5/2/16 8:37,1.328262847,0.664131423
5/2/16 8:37,1.329231786,0.664615893
5/2/16 8:37,1.327570948,0.663785474
5/2/16 8:37,1.329508827,0.664754413
5/2/16 8:37,1.325908703,0.662954352
5/2/16 8:37,1.328125029,0.664062515
5/2/16 8:37,1.330479173,0.665239586
5/2/16 8:37,1.325908703,0.662954352
5/2/16 8:37,1.323969418,0.661984709
5/2/16 8:37,1.327154683,0.663577342
5/2/16 8:37,1.322031539,0.661015769
5/2/16 8:37,1.32355456,0.66177728
5/2/16 8:37,1.326600602,0.663300301
5/2/16 8:37,1.322723437,0.661361719
5/2/16 8:37,1.324246458,0.662123229
5/2/16 8:37,1.325077581,0.66253879
5/2/16 8:37,1.324662723,0.662331361
5/2/16 8:37,1.3238316,0.6619158
5/2/16 8:37,1.069721928,0.534860964
5/2/16 8:37,1.051996944,0.525998472
5/2/16 8:38,0.911578054,0.455789027
5/2/16 8:38,0.909777992,0.454888996
5/2/16 8:38,0.912409177,0.456204588
5/2/16 8:38,0.879728209,0.439864105
5/2/16 8:38,0.886375782,0.443187891
5/2/16 8:38,0.926811078,0.463405539
5/2/16 8:38,1.031501552,0.515750776
5/2/16 8:38,1.030670429,0.515335215
5/2/16 8:38,0.881113413,0.440556707
5/2/16 8:38,0.877928148,0.438964074
5/2/16 8:38,0.878343006,0.439171503
5/2/16 8:38,0.877788924,0.438894462
5/2/16 8:38,0.883882415,0.441941207
5/2/16 8:38,0.91961083,0.459805415
5/2/16 8:38,1.021530896,0.510765448
5/2/16 8:38,1.042026288,0.521013144
5/2/16 8:38,0.876405126,0.438202563
5/2/16 8:38,0.877236249,0.438618124
5/2/16 8:38,0.880282291,0.440141145
5/2/16 8:38,0.875574004,0.437787002
5/2/16 8:38,0.880559332,0.440279666
5/2/16 8:38,0.953675595,0.476837798
5/2/16 8:38,1.050334699,0.52516735
5/2/16 8:38,1.093263362,0.546631681
5/2/16 8:38,0.916425565,0.458212782
5/2/16 8:38,0.914071421,0.457035711
5/2/16 8:38,0.915733666,0.457866833
